district_no,year,Field_ha,Harvested_t,Yield_dt/ha,kreisYield,kreisField_ha,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,temp_mean_early_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,producer_price_index,fertilizer_price_index,energy_price_index
3101,2021,97600.0,7966100.0,816.2,77.36,9250.595430959818,202.65668,17.343088,0,15.434853,13596580.0,79.36886014887196,46.774093627551125,257.0,22.0,129.0,105.1,114.25,118.325
3102,2017,102600.0,8475800.0,826.2,89.36,11096.993450620923,343.9,16.665478,0,15.943618,13865767.0,117.4934737513266,52.202526218022896,254.0,24.0,135.0,96.7,94.2,101.7
3102,2018,103400.0,7202700.0,696.3,65.23,9686.603461601893,105.225,19.07748,12,17.281927,17267506.0,117.4934737513266,52.202526218022896,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3102,2019,103400.0,7668800.0,741.7,77.05,10741.499243978024,151.57999,17.950722,9,15.736161,15232918.0,117.4934737513266,52.202526218022896,258.0,15.0,121.0,90.0,102.65,110.55
3102,2020,99300.0,7861900.0,791.6,80.29,10071.749608297436,193.005,17.837185,5,14.846191,15149956.0,117.4934737513266,52.202526218022896,269.0,8.0,105.0,100.0,100.0,100.0
3102,2021,97600.0,7966100.0,816.2,90.78,10855.339364303676,230.805,17.297213,0,15.437936,13714271.0,117.4934737513266,52.202526218022896,257.0,22.0,129.0,105.1,114.25,118.325
3103,2017,102600.0,8475800.0,826.2,78.2,9711.111099357164,309.64,16.686531,0,15.946728,13656565.0,82.63539670359086,43.88645822268728,254.0,24.0,135.0,96.7,94.2,101.7
3103,2018,103400.0,7202700.0,696.3,44.63,6627.519737717192,93.85,19.218538,12,17.589424,17042336.0,82.63539670359086,43.88645822268728,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3103,2020,99300.0,7861900.0,791.6,74.78,9380.56340401647,180.39,17.909199,5,14.926421,15027343.0,82.63539670359086,43.88645822268728,269.0,8.0,105.0,100.0,100.0,100.0
3151,2017,102600.0,8475800.0,826.2,80.12,9949.542471617595,321.3604,16.552269,0,15.876929,13573518.0,73.6892495743334,42.563852771214265,254.0,24.0,135.0,96.7,94.2,101.7
