district_no,r2,mae,avg_deviation,name,data_point_count,is_low_data
08226,0.39859000949749546,65.38333507104353,132.47259666702965,Rhein-Neckar-Kreis,22,False
08236,-0.32147053176447216,24.52864747047424,121.49623894691467,Enzkreis,8,True
08315,0.002679106701968137,35.04679069161418,132.15448355674744,Breisgau-Hochschwarzwald,8,True
08316,-0.09020819413913106,57.70723244667056,122.82477722167968,Emmendingen,5,True
08317,-3.377499335761663,36.220898857116765,134.72734832763672,Ortenaukreis,2,True
08335,-2.439095966739937,43.25446369171141,145.92043781280518,Konstanz,2,True
08337,-99.0,113.05934410095222,188.87396240234375,Waldshut,1,True
08416,-99.0,176.3528513050079,82.17246627807617,Tübingen,1,True
08425,0.3119342999942376,50.582966005537266,130.61125287744733,Alb-Donau-Kreis,18,False
08426,0.4684376282153664,23.446351760463287,114.69416416775097,Biberach,11,False
08435,-0.860373452369632,35.068796730041484,111.99656599760056,Bodenseekreis,8,True
08436,-1.4416666439228303,46.091871610005704,138.73972129821777,Ravensburg,5,True
09161,-1.2168685497835239,73.77911160693448,121.59468611548928,Ingolstadt,17,False
09162,-0.21623968315072362,70.32751078437356,124.44394282733693,München,17,False
09171,0.022481125990556183,61.16422301488766,123.03410350575166,Altötting,17,False
09173,-99.0,1.9867042541503679,82.09725570678711,Bad Tölz-Wolfratshausen,1,True
09174,0.4003492627052275,61.459977602707724,124.29267884555615,Dachau,19,False
09175,-0.9806325122484996,63.770963720433855,127.57078417609719,Ebersberg,17,False
09176,-0.12431606188305833,66.57847710847857,129.4505667090416,Eichstätt,22,False
09177,0.5189837409801918,64.6166931498678,124.96803165736951,Erding,19,False
09178,-0.0559694160258275,72.81710340076023,120.81795616282358,Freising,18,False
09179,-0.395665928010166,77.27335024303859,126.77632012301021,Fürstenfeldbruck,18,False
09181,0.2285127693899749,71.15903705423528,139.03166491876948,Landsberg am Lech,22,False
09183,-0.31688469517819806,78.08959117665012,120.08939928167007,Mühldorf am Inn,17,False
09184,-1.1215078340147566,51.66980234482709,129.48900673406965,München,17,False
09185,0.11952070824394612,64.28056269515643,129.45248611406848,Neuburg-Schrobenhausen,22,False
09186,-0.31286315388958474,73.00424490637722,124.56098493224098,Pfaffenhofen an der Ilm,21,False
09187,-0.8268262620509528,91.30979583740236,144.15890089670816,Rosenheim,6,True
09188,-0.5977938310671902,60.494339581657854,129.05284956974143,Starnberg,17,False
09189,-0.5066466581414886,76.96400450678432,147.90677716451532,Traunstein,17,False
09263,-0.05989427351963905,68.43573461322224,120.89984177140629,Straubing,17,False
09271,0.3975730334040636,59.52179846351796,132.15180913968518,Deggendorf,22,False
09273,0.39421978272286473,65.48202435229992,125.7768858447671,Kelheim,22,False
09274,0.5381517853292566,65.52201039065012,129.4880851453001,Landshut,22,False
09275,-0.031051216362904643,60.35844501831951,122.83774302987491,Passau,17,False
09276,-1.9305905458774242,41.580163183212306,147.51965522766113,Regen,4,True
09277,-0.12057080778633877,59.0776757183942,127.64630471576343,Rottal-Inn,22,False
09278,0.4698579077993418,63.402819119366725,131.91004250266334,Straubing-Bogen,22,False
09279,0.14626592426048557,71.56340536204252,128.08998252654618,Dingolfing-Landau,22,False
09371,-0.3680157944926099,74.22224652907427,129.27948163537417,Amberg-Sulzbach,17,False
09372,-0.4769571759565958,80.26118266006932,139.16774132847786,Cham,16,False
09373,0.0008388034426496382,85.81732194732216,127.22864627838135,Neumarkt in der Oberpfalz,17,False
09374,0.09931996486076045,55.97880822181699,108.33423948287964,Neustadt an der Waldnaab,4,True
09375,0.26981569253653537,55.09842046672648,129.47674749114296,Regensburg,22,False
09376,0.10228591175161506,72.50535585806648,131.11970498982598,Schwandorf,17,False
09377,0.08593942932776266,69.34099915828025,143.31360694340296,Tirschenreuth,14,False
09471,-0.38802984529867146,78.5285658892989,131.60678513277145,Bamberg,21,False
09472,-0.43018697190143573,100.446577204536,137.40040676734026,Bayreuth,17,False
09474,-0.4191906559967338,73.00009413305452,124.81286116207347,Forchheim,17,False
