district_no,avg_elevation,avg_soil_pawc
09261,415.7580990417181,44.74333182802071
09274,461.1059024770922,44.336303727716256
09478,367.97145672004666,46.542393462987285
09776,674.6738147694596,63.63212842338942
09183,472.79598236795556,46.7971366972158
09162,521.5121962396062,44.92586102281985
09184,573.0318497778328,52.266215715956804
09677,310.7730440507332,56.03867990623019
09764,615.9448297652149,48.43942857776383
09182,921.146597025031,70.1577252883719
09676,297.1266770863703,58.32921233383006
09574,436.22490869736953,51.29382796740249
09564,322.47950696882003,42.3858348518189
09775,515.0072983744109,43.576099256786335
09185,417.10512027480473,39.96029541523365
09373,492.5659476464622,46.757862685348606
09575,356.62304613380593,44.30047674715925
09374,503.9590928874415,44.43939678155042
09780,1055.734690551973,68.45998515551287
09777,835.4141822343771,65.23525441944845
09262,363.6130284975105,48.02399575340404
09275,435.73710746558675,49.48208999723644
09186,438.441564024743,40.93424648046478
09276,716.938717136517,62.20319508493199
09362,355.141558372034,42.101245988024424
09375,420.27434483931995,42.50684605147087
09673,399.6528141776127,52.04001503592565
09163,455.05357059370226,49.969160605396105
09187,599.2995466982916,58.031210271343525
09576,416.86625602967763,43.01612137881482
09277,439.094696242417,47.97796350824268
09565,350.49920383899985,41.9972137879654
09376,461.98805049618255,42.27726433186082
09662,233.32830653213657,48.12218106808889
09678,289.2862406787357,46.60291763957963
09188,618.5665525460363,49.43889384272391
09278,427.03746298908675,45.09221306462092
09263,324.8394394499651,41.88505812017794
09377,575.9681900590947,46.965035042145146
09189,654.800368527561,64.98731880649869
09778,624.1009252467836,50.00758765796971
09663,247.11683186362754,51.19841651358956
09679,295.3339376478746,49.79183859996042
09577,490.3084003469995,45.34564951930825
09363,444.31767881946814,41.48562218539696
09190,706.5411062967258,57.574356292841415
09479,603.307208984492,50.73771627121413
11000,44.69561034531856,38.92253999455853
12060,63.35055747409037,35.44211634260521
12051,34.37921789770615,40.07030646849144
12052,69.89974243237877,34.29915519201906
12061,60.63559138144998,33.04023030665039
12062,102.26153647522071,36.17198747447048
12053,72.3014930710354,35.830837993395626
12063,34.279723902925916,35.81629520224732
