year,district_no,kreisYield,Super_Ensemble_pred,Predicted_Best_Model,Prob_Hybrid_XGB,Prob_Native_Ensemble,Prob_Robust_Linear,Prob_Statistical_Trend,Prob_V31_Solar_Gated
2002,1057,525.3,520.6161375190002,Statistical_Trend,0.28753322,0.021492526,0.19985507,0.4845543,0.0065648784
2003,1057,474.3,526.2138767124537,Statistical_Trend,0.37465474,0.019894281,0.094410315,0.50472206,0.0063186353
2004,1057,543.1,517.6703839989989,Statistical_Trend,0.28689146,0.02769321,0.2571985,0.4203577,0.007859111
2005,1057,547.7,525.3308429577472,Robust_Linear,0.22152297,0.32213372,0.35757855,0.0906998,0.008065045
2006,1057,546.2,539.1780136478732,Native_Ensemble,0.28482258,0.43351984,0.20413242,0.07150084,0.0060243313
2007,1057,508.1,566.1065818529654,Robust_Linear,0.31167853,0.09112408,0.52580273,0.06209942,0.009295288
2008,1057,549.5,558.7831029266463,V31_Solar_Gated,0.11688268,0.18354055,0.057003558,0.19929682,0.44327646
2009,1057,641.4,549.2709333515274,Robust_Linear,0.25311512,0.13353917,0.5519176,0.053762555,0.007665555
2010,1057,625.6,574.7688454480823,Native_Ensemble,0.13961923,0.46156624,0.27367595,0.11833556,0.0068030297
2011,1057,702.2,612.0169372716996,Statistical_Trend,0.14056303,0.0579204,0.22021225,0.56525207,0.016052244
2012,1057,629.9,646.4607853049087,Robust_Linear,0.21074414,0.20315284,0.4263713,0.15015195,0.009579758
2013,1057,677.7,666.7163873179771,Robust_Linear,0.19997475,0.21045229,0.42037472,0.16061346,0.008584749
2014,1057,744.3,681.8702660546876,Native_Ensemble,0.112671025,0.44197777,0.32650524,0.10276633,0.016079677
2015,1057,692.4,706.9328049034126,Robust_Linear,0.09922551,0.08903301,0.58029336,0.13758585,0.09386229
2023,1057,887.9,823.1685622710215,Robust_Linear,0.26985174,0.28277025,0.30357397,0.12372945,0.020074612
2000,1058,570.6,535.8716221513482,Statistical_Trend,0.070709825,0.007790872,0.06714636,0.8100399,0.044313073
2001,1058,545.0,559.1044995288961,Robust_Linear,0.18864815,0.017423578,0.6165756,0.1693279,0.008024768
2002,1058,544.9,567.4831980050197,Statistical_Trend,0.2312022,0.02010665,0.119723044,0.6225309,0.0064371936
2003,1058,550.3,573.0999947229084,Hybrid_XGB,0.29511365,0.013017762,0.2198294,0.21027166,0.26176748
2004,1058,573.8,569.6612653012681,Robust_Linear,0.2687523,0.020076163,0.57432646,0.12836161,0.008483422
2005,1058,609.3,571.6025227905101,Statistical_Trend,0.2324376,0.045986485,0.19807655,0.51724243,0.0062569655
2006,1058,607.6,595.5959069310161,Native_Ensemble,0.23107511,0.48591983,0.1956238,0.08102129,0.006359888
2007,1058,652.6,623.9288992643583,V31_Solar_Gated,0.23290825,0.099664,0.19347438,0.10097613,0.3729773
2008,1058,611.2,634.1894356462652,Statistical_Trend,0.09145746,0.3501976,0.037113305,0.51508373,0.0061479206
2009,1058,670.8,641.198603513276,Native_Ensemble,0.19486111,0.4954995,0.19938606,0.10400301,0.0062503186
2010,1058,621.5,642.5398232517067,Native_Ensemble,0.21362926,0.30814558,0.3071984,0.16047283,0.0105539
2011,1058,675.7,654.0612041792295,Statistical_Trend,0.23751669,0.08568685,0.12152649,0.5308233,0.024446702
2012,1058,625.1,679.9925554879908,Robust_Linear,0.29673666,0.21997629,0.38684192,0.08793062,0.008514471
2013,1058,729.3,680.7093810358135,Robust_Linear,0.17579742,0.08134238,0.47783273,0.25811118,0.0069163474
2014,1058,856.0,725.6981949075216,V31_Solar_Gated,0.08382428,0.02567911,0.060822938,0.038280226,0.7913935
2015,1058,780.4,759.039244730197,Native_Ensemble,0.19644104,0.41616082,0.27214772,0.10273135,0.012519037
2016,1058,788.0,749.3197126881798,Robust_Linear,0.24178144,0.1862268,0.35530955,0.19212386,0.024558455
2017,1058,740.4,791.224142979923,Hybrid_XGB,0.30723506,0.24041238,0.29166958,0.14861247,0.012070432
2018,1058,744.2,771.541226608631,Hybrid_XGB,0.3658497,0.17264387,0.31418958,0.13402314,0.0132936565
2019,1058,838.1,791.6523297398047,Statistical_Trend,0.28007558,0.06568729,0.2572078,0.3881993,0.008830011
2020,1058,810.4,813.3532724403926,Native_Ensemble,0.3007246,0.34689602,0.07538807,0.26880884,0.008182467
2021,1058,816.7,809.2400752179323,Robust_Linear,0.27038172,0.10736891,0.30665636,0.30496976,0.010623225
