district_no,year,kreisYield,name,predicted_yield_lower,predicted_yield_median,predicted_yield_upper,error,abs_error,is_outside_interval,outlier_magnitude
09372,2008,510.7,Cham,522.4457485961914,644.1599629211426,739.6714794921875,133.45996292114256,133.45996292114256,True,-11.74574859619139
12061,2003,334.6,Dahme-Spreewald,378.5527291870118,468.008959350586,586.9524865722657,133.40895935058597,133.40895935058597,True,-43.952729187011755
01059,2011,754.0,Schleswig-Flensburg,488.94775939941405,620.6904866790771,728.3476007080078,-133.30951332092286,133.30951332092286,True,25.652399291992197
01060,2014,820.7,Segeberg,554.0031549072266,687.575641784668,784.3674584960938,-133.124358215332,133.124358215332,True,36.332541503906214
15082,2003,347.1,Anhalt-Bitterfeld,393.1127291870117,480.1007195663452,601.5124865722656,133.0007195663452,133.0007195663452,True,-46.0127291870117
08126,2011,844.7,Hohenlohekreis,593.1593270874024,711.7326036071778,814.6476007080079,-132.96739639282225,132.96739639282225,True,30.052399291992174
16067,2018,568.7,Gotha,584.5118414306642,701.4302011871339,844.7999121093751,132.73020118713384,132.73020118713384,True,-15.811841430664117
09772,2014,973.2,Augsburg,699.0031549072265,840.561496887207,929.3674584960937,-132.63850311279305,132.63850311279305,True,43.83254150390633
16076,2003,453.5,Greiz,501.6527291870117,586.065779838562,710.0524865722656,132.56577983856198,132.56577983856198,True,-48.15272918701169
03251,2024,922.1,Diepholz,619.2613735961914,789.6127758789063,912.9883404541016,-132.48722412109373,132.48722412109373,True,9.11165954589842
08125,2003,513.7,Heilbronn,567.4527291870118,646.1069759941101,775.8524865722657,132.4069759941101,132.4069759941101,True,-53.75272918701171
06535,2011,753.6,Vogelsbergkreis,507.78034515380864,621.370618057251,729.2876007080079,-132.229381942749,132.229381942749,True,24.312399291992165
05154,2018,661.5,Kleve,676.2910290527345,793.6520367431642,932.2399121093752,132.15203674316422,132.15203674316422,True,-14.79102905273453
05382,2017,867.2,Rhein-Sieg-Kreis,592.7148590087891,735.265251159668,841.2402191162109,-131.93474884033208,131.93474884033208,True,25.959780883789108
13072,2014,747.9,Rostock,481.9431549072266,615.9842849731446,712.3074584960938,-131.91571502685542,131.91571502685542,True,35.592541503906205
09278,2003,585.8,Straubing-Bogen,636.7727291870117,717.5159762191772,845.1724865722656,131.71597621917726,131.71597621917726,True,-50.97272918701174
09572,2007,687.0,Erlangen-Höchstadt,446.93373229980466,555.8157990264892,666.1649182128906,-131.18420097351077,131.18420097351077,True,20.835081787109402
15084,2021,831.9,Burgenlandkreis,544.6788259887695,700.8438078308105,819.4132696533203,-131.05619216918944,131.05619216918944,True,12.486730346679678
06435,2018,650.2,Main-Kinzig-Kreis,681.7891311645508,781.1499589085579,940.659912109375,130.94995890855785,130.94995890855785,True,-31.589131164550736
09673,2015,567.7,Rhön-Grabfeld,579.1085769653321,698.5707962036133,817.6218444824219,130.87079620361328,130.87079620361328,True,-11.408576965332031
06439,2014,860.6,Rheingau-Taunus-Kreis,601.9231549072265,729.8558216857909,832.2874584960937,-130.74417831420908,130.74417831420908,True,28.312541503906345
06440,2003,476.1,Wetteraukreis,524.0727291870119,606.6576014328004,732.4724865722658,130.55760143280042,130.55760143280042,True,-47.97272918701185
03353,2014,849.7,Harburg,587.2631549072265,719.1602801513671,817.6274584960937,-130.5397198486329,130.5397198486329,True,32.072541503906336
09677,2003,495.1,Main-Spessart,541.1327291870117,625.0627600097656,749.5324865722656,129.9627600097656,129.9627600097656,True,-46.03272918701168
05766,2014,928.3,Lippe,666.4031549072265,798.4618630981445,896.7674584960937,-129.83813690185548,129.83813690185548,True,31.53254150390626
15090,2011,653.3,Stendal,406.22034515380864,523.5446287536622,627.7276007080079,-129.75537124633775,129.75537124633775,True,25.572399291992042
03355,2014,840.8,Lüneburg,576.5231549072265,711.2946621704101,806.8874584960937,-129.50533782958985,129.50533782958985,True,33.912541503906255
01061,2014,764.3,Steinburg,505.8231549072266,634.8464474487305,736.1874584960938,-129.45355255126947,129.45355255126947,True,28.112541503906186
09472,2013,575.5,Bayreuth,576.1794458007813,704.7006059265137,803.8962274169922,129.20060592651373,129.20060592651373,True,-0.6794458007813091
05758,2015,1020.2,Herford,762.748576965332,891.1636579895019,1001.2618444824218,-129.03634201049817,129.03634201049817,True,18.938155517578252
09571,2021,832.5,Ansbach,549.9988259887696,703.6075677490235,824.7332696533203,-128.89243225097653,128.89243225097653,True,7.766730346679651
12069,2006,371.0,Potsdam-Mittelmark,376.7206323242188,499.6333348846436,601.5053155517578,128.6333348846436,128.6333348846436,True,-5.720632324218798
09779,2013,700.2,Donau-Ries,702.1994458007812,828.7964993286132,929.9162274169921,128.59649932861316,128.59649932861316,True,-1.9994458007811318
06532,2000,657.9,Lahn-Dill-Kreis,426.35570861816404,529.4076190185547,635.6467700195312,-128.4923809814453,128.4923809814453,True,22.253229980468745
12064,2008,404.3,Märkisch-Oderland,411.6657485961914,532.7065315246582,628.8914794921875,128.4065315246582,128.4065315246582,True,-7.365748596191395
05762,2017,982.4,Höxter,711.474859008789,854.0698831176758,960.0002191162109,-128.3301168823242,128.3301168823242,True,22.39978088378905
09478,2003,481.0,Lichtenfels,523.9127291870117,609.2605332565307,732.3124865722656,128.26053325653072,128.26053325653072,True,-42.91272918701168
15003,2010,477.2,Magdeburg,490.9814660644531,605.4077947235107,711.0823571777344,128.20779472351074,128.20779472351074,True,-13.781466064453127
12064,2009,628.9,Märkisch-Oderland,403.65776733398445,500.74532035827644,622.445975341797,-128.15467964172353,128.15467964172353,True,6.454024658203025
09477,2000,674.0,Kulmbach,442.7957086181641,545.938364944458,652.0867700195313,-128.06163505554196,128.06163505554196,True,21.913229980468714
05170,2011,815.1,Wesel,572.5403451538086,687.3782491302491,794.0476007080078,-127.72175086975096,127.72175086975096,True,21.052399291992174
05758,2014,979.6,Herford,719.5631549072266,852.0729205322266,949.9274584960938,-127.52707946777343,127.52707946777343,True,29.672541503906245
06431,2014,866.5,Bergstraße,611.7431549072264,739.2631324768065,842.1074584960936,-127.2368675231935,127.2368675231935,True,24.392541503906386
12062,2007,640.3,Elbe-Elster,402.87373229980466,513.182631225586,622.1049182128907,-127.11736877441399,127.11736877441399,True,18.195081787109302
08215,2003,446.0,Karlsruhe,492.5127291870116,573.0311761093138,700.9124865722655,127.03117610931383,127.03117610931383,True,-46.51272918701159
06535,2018,632.8,Vogelsbergkreis,642.5582064819336,759.7994775009155,913.079912109375,126.99947750091553,126.99947750091553,True,-9.758206481933598
16052,2014,867.9,Gera,598.2831549072266,740.9970373535157,828.6474584960938,-126.9029626464843,126.9029626464843,True,39.25254150390617
06436,2003,509.4,Main-Taunus-Kreis,558.0727291870118,636.1881519126892,766.4724865722657,126.78815191268927,126.78815191268927,True,-48.67272918701178
03460,2011,729.4,Vechta,483.4203451538085,602.690860595703,704.9276007080077,-126.70913940429693,126.70913940429693,True,24.472399291992247
06434,2021,923.8,Hochtaunuskreis,645.8788259887694,797.2192686462402,920.6132696533202,-126.5807313537598,126.5807313537598,True,3.186730346679724
16055,2000,612.0,Weimar,383.53570861816405,485.505700302124,592.8267700195313,-126.49429969787599,126.49429969787599,True,19.173229980468705
07137,2017,865.1,Mayen-Koblenz,601.3148590087891,738.8058486938477,849.840219116211,-126.29415130615234,126.29415130615234,True,15.259780883789062
09675,2014,913.5,Kitzingen,646.4631549072266,787.4681979370117,876.8274584960938,-126.03180206298828,126.03180206298828,True,36.672541503906245
09774,2011,873.7,Günzburg,632.1403451538085,747.7523313140869,853.6476007080078,-125.94766868591319,125.94766868591319,True,20.052399291992288
12063,2009,584.4,Havelland,362.1177673339844,458.6928176879883,580.9059753417969,-125.7071823120117,125.7071823120117,True,3.4940246582031023
12063,2011,623.8,Havelland,370.82796874999997,498.4112798309326,605.7476007080078,-125.38872016906737,125.38872016906737,True,18.052399291992174
05166,2018,712.8,Viersen,721.5310290527344,838.1211207580567,977.479912109375,125.32112075805674,125.32112075805674,True,-8.73102905273447
06632,2008,696.2,Hersfeld-Rotenburg,452.0857485961915,570.9594515991212,669.3114794921876,-125.24054840087888,125.24054840087888,True,26.888520507812473
09575,2014,920.5,Neustadt an der Aisch-Bad Windsheim,654.6431549072265,795.6481979370117,885.0074584960937,-124.85180206298833,124.85180206298833,True,35.492541503906295
16070,2024,833.2,Ilm-Kreis,529.7213735961914,708.4345083618164,823.4483404541015,-124.76549163818368,124.76549163818368,True,9.75165954589852
05358,2014,903.9,Düren,655.5631549072266,779.1795375061035,885.9274584960938,-124.72046249389643,124.72046249389643,True,17.9725415039062
15082,2007,613.6,Anhalt-Bitterfeld,377.1689144897461,489.38105743408204,596.5649182128907,-124.21894256591798,124.21894256591798,True,17.035081787109334
