district_no,year,yield
3255,2015,76.83
3255,2016,85.83
3255,2017,83.56
3255,2018,65.97
3255,2019,80.49
3255,2020,87.83
3255,2021,83.03
3256,1979,40.54
3256,1980,43.66
3256,1981,42.63
3256,1982,40.26
3256,1983,34.56
3256,1984,45.58
3256,1985,48.95
3256,1986,43.85
3256,1987,45.38
3256,1988,41.87
3256,1989,46.01
3256,1990,49.13
3256,1991,48.44
3256,1992,46.49
3256,1993,52.36
3256,1994,49.6
3256,1995,45.88
3256,1996,48.2
3256,1997,50.02
3256,1998,52.36
3256,1999,52.43
3256,2000,57.41
3256,2001,53.11
3256,2002,51.31
3256,2003,50.93
3256,2004,59.81
3256,2005,59.8
3256,2006,58.14
3256,2007,63.76
3256,2008,63.6
3256,2009,68.6
3256,2010,63.09
3256,2011,74.55
3256,2012,72.36
3256,2013,72.41
3256,2014,85.49
3256,2015,77.08
3256,2016,79.02
3256,2017,87.24
3256,2018,69.71
3256,2019,71.95
3256,2020,77.37
3256,2021,83.89
3257,1979,40.87
3257,1980,42.58
3257,1981,43.08
3257,1982,48.14
3257,1983,38.06
3257,1984,43.55
3257,1985,46.5
3257,1986,48.05
3257,1987,44.15
3257,1988,45.46
3257,1989,50.2
3257,1990,54.33
3257,1991,51.85
3257,1992,53.34
3257,1993,54.31
3257,1994,52.3
3257,1995,52.27
3257,1996,51.61
3257,1997,52.66
3257,1998,55.04
3257,1999,61.69
3257,2000,61.14
3257,2001,58.36
3257,2002,57.69
3257,2003,64.57
3257,2004,64.4
3257,2005,67.88
3257,2006,64.22
3257,2007,68.45
3257,2008,72.21
3257,2009,72.89
3257,2010,66.59
3257,2011,78.31
3257,2012,73.97
3257,2013,68.25
3257,2014,84.22
3257,2015,79.85
3257,2016,75.86
3257,2017,85.22
3257,2018,72.22
3257,2019,75.62
3257,2020,85.25
3257,2021,83.77
3351,1979,39.88
3351,1980,39.69
3351,1981,44.15
3351,1982,44.94
3351,1983,36.28
3351,1984,39.79
3351,1985,46.32
3351,1986,45.68
3351,1987,45.36
3351,1988,43.01
3351,1989,45.71
3351,1990,47.13
3351,1991,45.81
