district_no,year,yield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,pflanzliche_erzeugung_lag1,zuckerrben_lag1,dngemittel_lag1,pflanzenschutzmittel_lag1,saat_und_pflanzgut_lag1,energie_und_schmierstoffe_lag1,winter_temp_anomaly,winter_precip_anomaly
03153,2018,63.27,110.627495,17.292974,2,17169810.0,387.65537837221,68.64159594833163,93.1,96.7,94.2,99.3,96.425,101.7,-1.0293879814171305,0.02776396397372527
03153,2019,79.57,167.03334,16.0621,2,15139928.0,387.65537837221,68.64159594833163,102.7,95.4,96.925,99.125,98.025,109.125,0.3861362491784348,-0.052630111950916936
03153,2020,79.79,207.82501,16.062916,2,14997075.0,387.65537837221,68.64159594833163,101.9,90.0,102.65,99.1,100.5,110.55,0.9464367968968759,0.09391995519615048
03153,2021,85.36,260.13004,15.399467,0,13576121.0,387.65537837221,68.64159594833163,100.0,100.0,100.0,100.025,100.025,100.0,-0.2561152157292099,-0.03241510067692299
03154,2018,53.7,84.06375,19.077482,12,17178296.0,120.71246267567484,47.3940791687049,93.1,96.7,94.2,99.3,96.425,101.7,-0.8634870189173967,0.06378683990378242
03154,2019,68.84,147.41626,17.858456,9,15293446.0,120.71246267567484,47.3940791687049,102.7,95.4,96.925,99.125,98.025,109.125,0.487621196460168,-0.2008508612190706
03154,2020,69.86,174.54874,17.77447,5,15217455.0,120.71246267567484,47.3940791687049,101.9,90.0,102.65,99.1,100.5,110.55,0.899334356342365,0.09939287385997142
03154,2021,76.06,197.58624,17.226381,0,13657848.0,120.71246267567484,47.3940791687049,100.0,100.0,100.0,100.025,100.025,100.0,-0.31262028548110266,-0.013769149476635878
03155,2018,83.05,115.90235,18.250153,9,17409952.0,231.4685232956745,58.19983547821087,93.1,96.7,94.2,99.3,96.425,101.7,-0.8540280464210355,0.04873529957553546
03155,2019,81.1,164.82704,16.95048,4,15158694.0,231.4685232956745,58.19983547821087,102.7,95.4,96.925,99.125,98.025,109.125,0.3941412985306556,-0.0899554952804743
03155,2020,88.53,203.95412,16.910269,2,15023238.0,231.4685232956745,58.19983547821087,101.9,90.0,102.65,99.1,100.5,110.55,0.7053372656772012,0.1493508159292718
03155,2021,85.12,250.49939,16.34048,0,13664557.0,231.4685232956745,58.19983547821087,100.0,100.0,100.0,100.025,100.025,100.0,-0.3356571108065509,0.01571595641427659
03157,2018,69.87,103.32286,19.157343,12,17155536.0,73.38944065927016,45.43448187787549,93.1,96.7,94.2,99.3,96.425,101.7,-0.8926017280412566,0.05152031722104722
03157,2019,69.48,146.12715,18.085793,9,15113266.0,73.38944065927016,45.43448187787549,102.7,95.4,96.925,99.125,98.025,109.125,0.46363218071826395,-0.17843615554412562
03157,2020,79.48,178.73001,17.912767,5,15049345.0,73.38944065927016,45.43448187787549,101.9,90.0,102.65,99.1,100.5,110.55,0.8297446089714526,0.14874974460718748
03157,2021,81.71,205.17714,17.423786,0,13645038.0,73.38944065927016,45.43448187787549,100.0,100.0,100.0,100.025,100.025,100.0,-0.2670276507136009,-0.022876983021405173
03158,2018,63.9,102.60728,18.937078,12,17305284.0,130.02412529590924,49.33051719467714,93.1,96.7,94.2,99.3,96.425,101.7,-0.9186733510529734,0.021357281159990915
03158,2019,77.95,154.05182,17.77711,9,15329231.0,130.02412529590924,49.33051719467714,102.7,95.4,96.925,99.125,98.025,109.125,0.4019661343373855,-0.09909338153174807
03158,2020,74.97,194.0091,17.68932,5,15232778.0,130.02412529590924,49.33051719467714,101.9,90.0,102.65,99.1,100.5,110.55,0.8787573097134214,0.11004843792340302
03158,2021,81.17,230.54182,17.12999,0,13754880.0,130.02412529590924,49.33051719467714,100.0,100.0,100.0,100.025,100.025,100.0,-0.25839040934829427,0.0018244754353538006
03241,2018,74.81,114.14903,18.9071,12,16978368.0,65.35178068571408,44.86763110898455,93.1,96.7,94.2,99.3,96.425,101.7,-0.8644410590895859,0.01120905423955798
03241,2019,74.78,162.20451,18.020483,9,14925418.0,65.35178068571408,44.86763110898455,102.7,95.4,96.925,99.125,98.025,109.125,0.4465884732893528,-0.18706516613494417
03241,2020,82.52,182.18709,17.794092,6,14820319.0,65.35178068571408,44.86763110898455,101.9,90.0,102.65,99.1,100.5,110.55,0.7951854449605094,0.2049052882629665
03241,2021,84.76,215.1984,17.345615,0,13614266.0,65.35178068571408,44.86763110898455,100.0,100.0,100.0,100.025,100.025,100.0,-0.25047139525293005,-0.005133255278637394
03251,2018,53.63,100.83963,18.604012,11,16547812.0,37.82531227909938,50.47574318137497,93.1,96.7,94.2,99.3,96.425,101.7,-0.9093919129257415,-0.05345105445785281
03251,2019,62.66,200.88,17.700487,8,14622417.0,37.82531227909938,50.47574318137497,102.7,95.4,96.925,99.125,98.025,109.125,0.43488586564620846,-0.20512308093003806
03251,2020,77.31,196.90517,17.456343,7,14363905.0,37.82531227909938,50.47574318137497,101.9,90.0,102.65,99.1,100.5,110.55,0.7264235345225529,0.24162421058451966
03251,2021,81.42,232.92517,17.229515,0,13647034.0,37.82531227909938,50.47574318137497,100.0,100.0,100.0,100.025,100.025,100.0,-0.2401135714868019,-0.0026470583561016836
03252,2018,78.89,135.20091,18.26215,8,17239142.0,168.64624754132518,59.42615305944366,93.1,96.7,94.2,99.3,96.425,101.7,-0.8601384413199185,-0.0026537569300451036
03252,2019,83.27,171.57092,17.332008,7,15060255.0,168.64624754132518,59.42615305944366,102.7,95.4,96.925,99.125,98.025,109.125,0.3993080823080959,-0.11859484742478754
03252,2020,88.27,204.00272,17.152218,2,14911296.0,168.64624754132518,59.42615305944366,101.9,90.0,102.65,99.1,100.5,110.55,0.7157523615278478,0.18648346425656537
03252,2021,86.29,256.68002,16.63136,0,13753277.0,168.64624754132518,59.42615305944366,100.0,100.0,100.0,100.025,100.025,100.0,-0.21919177659941624,0.026097192854473095
03254,2018,71.17,114.610664,18.582714,10,17324002.0,145.42201172754338,54.37337369926457,93.1,96.7,94.2,99.3,96.425,101.7,-0.8815136891828388,0.040064334267730706
03254,2019,77.85,154.09267,17.47395,9,15154226.0,145.42201172754338,54.37337369926457,102.7,95.4,96.925,99.125,98.025,109.125,0.4186246563276086,-0.11126640599902504
03254,2020,83.99,192.98334,17.307262,2,15060927.0,145.42201172754338,54.37337369926457,101.9,90.0,102.65,99.1,100.5,110.55,0.7806171716003973,0.1526361110178538
03254,2021,86.11,236.38266,16.807877,0,13757799.0,145.42201172754338,54.37337369926457,100.0,100.0,100.0,100.025,100.025,100.0,-0.2559949861657742,0.00850520287490708
03255,2018,65.97,132.78,18.160149,9,17276632.0,244.77205326208195,66.78746385962387,93.1,96.7,94.2,99.3,96.425,101.7,-0.8645809139368339,0.013595343174093166
03255,2019,80.49,167.84998,17.054688,5,15045382.0,244.77205326208195,66.78746385962387,102.7,95.4,96.925,99.125,98.025,109.125,0.40360824152884334,-0.13524217029987717
03255,2020,87.83,210.47556,16.903654,2,14912426.0,244.77205326208195,66.78746385962387,101.9,90.0,102.65,99.1,100.5,110.55,0.7220844637355981,0.19223476346989798
03255,2021,83.03,258.93222,16.396511,0,13659712.0,244.77205326208195,66.78746385962387,100.0,100.0,100.0,100.025,100.025,100.0,-0.2878656414699208,0.03160758415018461
03256,2018,69.71,105.71944,18.805254,11,16710044.0,36.69954350209412,45.6912156632667,93.1,96.7,94.2,99.3,96.425,101.7,-0.8900372613339869,-0.043925425521255224
03256,2019,71.95,187.36833,17.951899,8,14683693.0,36.69954350209412,45.6912156632667,102.7,95.4,96.925,99.125,98.025,109.125,0.4373125179207591,-0.20522471137422693
03256,2020,77.37,189.63002,17.70244,7,14507581.0,36.69954350209412,45.6912156632667,101.9,90.0,102.65,99.1,100.5,110.55,0.7662620136100031,0.24657472194498564
03256,2021,83.89,219.55275,17.355438,0,13575263.0,36.69954350209412,45.6912156632667,100.0,100.0,100.0,100.025,100.025,100.0,-0.24005334226984587,-0.003466531725550448
03257,2018,72.22,120.98499,18.636616,10,17063628.0,110.06650836686582,54.52129291862677,93.1,96.7,94.2,99.3,96.425,101.7,-0.8976610732851213,0.0011384310659678931
03257,2019,75.62,173.10399,17.796331,8,14935939.0,110.06650836686582,54.52129291862677,102.7,95.4,96.925,99.125,98.025,109.125,0.4177369182016264,-0.16499476190914308
03257,2020,85.25,190.479,17.528894,5,14762026.0,110.06650836686582,54.52129291862677,101.9,90.0,102.65,99.1,100.5,110.55,0.7706588447551326,0.2122620506455093
03257,2021,83.77,225.90703,17.059004,0,13753653.0,110.06650836686582,54.52129291862677,100.0,100.0,100.0,100.025,100.025,100.0,-0.24300793729179304,0.005954573590722045
03351,2018,69.04,103.2655,18.90065,14,16591691.0,63.23971096729696,45.982047716891806,93.1,96.7,94.2,99.3,96.425,101.7,-0.8889448308123633,0.043362711021580846
03351,2019,65.67,175.64899,17.828472,9,14650579.0,63.23971096729696,45.982047716891806,102.7,95.4,96.925,99.125,98.025,109.125,0.5459417935238662,-0.2450786206126937
03351,2020,74.43,187.975,17.643023,6,14570336.0,63.23971096729696,45.982047716891806,101.9,90.0,102.65,99.1,100.5,110.55,0.813887038410769,0.20603229787876276
