district_no,year,kreisYield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,Crop,Field_ha,Harvested_t,Yield_dt/ha,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,kreisField_ha,winter_temp_anomaly,winter_precip_anomaly
01054,2021,93.31,256.6513366699219,16.923311233520508,0.0,14724028.0,3.878989444346276,57.13157050524072,Sugar beet,9200.0,783300.0,846.9,257.8,22.0,-235.8,1013.640334143771,-0.12391997538520627,-0.09085921103293748
01058,2017,74.04,305.47137451171875,15.617020606994627,0.0,13673043.0,18.6739993731766,53.52441928771236,Sugar beet,8100.0,616200.0,765.2,254.0,24.5,-229.5,783.7480387039361,-1.8889168666712521,-0.606041029750531
01058,2019,83.81,234.00311279296875,16.586139678955078,2.0,14502322.0,18.6739993731766,53.52441928771236,Sugar beet,9700.0,842800.0,870.7,258.5,15.0,-243.5,933.6820937938645,0.5754004511302355,-0.20980711549782038
01058,2020,81.04,171.4569091796875,16.506717681884766,0.0,14778614.0,18.6739993731766,53.52441928771236,Sugar beet,9900.0,802800.0,809.6,269.5,191.75,-77.75,990.9782596455309,0.8589180454562779,0.2691202419517791
01058,2021,81.67,236.99620056152344,16.81435203552246,0.0,14044374.0,18.6739993731766,53.52441928771236,Sugar beet,9200.0,783300.0,846.9,257.8,22.0,-235.8,887.1932921393397,-0.1876093481961334,-0.04872323646982524
01059,2017,74.21,347.2473449707031,15.43790054321289,0.0,13886399.0,21.813499268367053,51.94983958903685,Sugar beet,8100.0,616200.0,765.2,254.0,24.5,-229.5,785.5475682363465,-1.8428289531838118,-0.6004287543159652
01059,2019,83.37,262.7526550292969,16.426719665527344,0.0,14565299.0,21.813499268367053,51.94983958903685,Sugar beet,9700.0,842800.0,870.7,258.5,15.0,-243.5,928.780290652601,0.591950564851345,-0.18752330887670532
01059,2020,83.2,180.5706329345703,16.308021545410156,0.0,14849913.0,21.813499268367053,51.94983958903685,Sugar beet,9900.0,802800.0,809.6,269.5,191.75,-77.75,1017.3913030911668,0.8812571328820127,0.3133632143770264
01059,2021,81.92,240.12599182128903,16.675527572631836,0.0,14188758.0,21.813499268367053,51.94983958903685,Sugar beet,9200.0,783300.0,846.9,257.8,22.0,-235.8,889.9090791239709,-0.23799343645424642,-0.10419780213917063
01060,2017,78.3,286.70526123046875,15.782273292541504,0.0,13342904.0,34.30699266787498,50.82564035364499,Sugar beet,8100.0,616200.0,765.2,254.0,24.5,-229.5,828.8421316925742,-1.9629420279341048,-0.6099982816427789
01060,2019,87.71,222.2478790283203,16.811006546020508,3.0,14299665.0,34.30699266787498,50.82564035364499,Sugar beet,9700.0,842800.0,870.7,258.5,15.0,-243.5,977.1298943641552,0.5846732274106898,-0.2095070254176763
01060,2020,76.03,167.74578857421875,16.772794723510742,5.0,14653286.0,34.30699266787498,50.82564035364499,Sugar beet,9900.0,802800.0,809.6,269.5,191.75,-77.75,929.7146727646805,0.8637316477198169,0.2227336157613422
01060,2021,82.84,230.3673858642578,16.963420867919922,0.0,13734829.0,34.30699266787498,50.82564035364499,Sugar beet,9200.0,783300.0,846.9,257.8,22.0,-235.8,899.903175227414,-0.1831745191136065,0.005694494987522392
01061,2017,72.7,316.4684753417969,15.841331481933594,0.0,13581789.0,8.498057820216552,61.49693127291663,Sugar beet,8100.0,616200.0,765.2,254.0,24.5,-229.5,769.5635118014068,-2.002286422033478,-0.6262617936839647
01061,2019,82.63,231.1923065185547,16.875362396240234,3.0,14556946.0,8.498057820216552,61.49693127291663,Sugar beet,9700.0,842800.0,870.7,258.5,15.0,-243.5,920.5363490059304,0.552806092422145,-0.19352230163686746
01061,2020,79.2,176.44615173339844,16.822771072387695,7.0,14727829.0,8.498057820216552,61.49693127291663,Sugar beet,9900.0,802800.0,809.6,269.5,191.75,-77.75,968.4782596733223,0.8250167117805063,0.2509128548249404
01061,2021,76.46,244.4438323974609,17.014659881591797,0.0,14001810.0,8.498057820216552,61.49693127291663,Sugar beet,9200.0,783300.0,846.9,257.8,22.0,-235.8,830.5962913796242,-0.19239714305217603,-0.021035057627324383
03101,2017,76.84,320.54669189453125,16.623231887817383,0.0,13767091.0,79.36886014887196,46.774093627551125,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,9542.222210672691,-2.1992644300897837,-0.5564841985990636
03101,2019,72.34,144.08665466308594,17.990467071533203,9.0,15128691.0,79.36886014887196,46.774093627551125,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10084.880665923041,0.46994479254766475,-0.17701913204615272
03101,2020,72.26,179.58334350585938,17.839859008789062,5.0,15071155.0,79.36886014887196,46.774093627551125,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9064.449205325356,0.8401645253395031,0.1321124189271241
03101,2021,77.36,202.65667724609372,17.343088150024414,0.0,13596580.0,79.36886014887196,46.774093627551125,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9250.595430959818,-0.27507956634781294,-0.028708303634024546
03102,2017,89.36,343.8999938964844,16.665477752685547,0.0,13865767.0,117.4934737513266,52.202526218022896,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,11096.993450620923,-2.252738344259228,-0.5596397230611608
03102,2019,77.05,151.57998657226562,17.950721740722656,9.0,15232918.0,117.4934737513266,52.202526218022896,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10741.499243978024,0.40777198676568105,-0.08721099228742879
03102,2020,80.29,193.0050048828125,17.83718490600586,5.0,15149956.0,117.4934737513266,52.202526218022896,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,10071.749608297436,0.8821092325758855,0.10667211579597002
03102,2021,90.78,230.80499267578125,17.297212600708008,0.0,13714271.0,117.4934737513266,52.202526218022896,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10855.339364303676,-0.23949625692023346,-0.021584944271271445
03103,2017,78.2,309.6400146484375,16.68653106689453,0.0,13656565.0,82.63539670359086,43.88645822268728,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,9711.111099357164,-2.2131785126464933,-0.5487274173459287
03103,2020,74.78,180.38999938964844,17.909198760986328,5.0,15027343.0,82.63539670359086,43.88645822268728,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9380.56340401647,0.8539458317662252,0.12526427018398678
03151,2017,80.12,321.36041259765625,16.552268981933594,0.0,13573518.0,73.6892495743334,42.563852771214265,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,9949.542471617595,-2.212041070432292,-0.5501864498861178
03151,2019,74.67,167.38182067871094,17.96756362915039,9.0,14868786.0,73.6892495743334,42.563852771214265,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10409.704718336652,0.5560156627911965,-0.23834953335736886
03151,2020,77.81,185.7763671875,17.794248580932617,6.0,14820814.0,73.6892495743334,42.563852771214265,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9760.653095299833,0.8490759067810245,0.1684845875599461
03151,2021,80.22,194.92955017089844,17.436302185058594,0.0,13361773.0,73.6892495743334,42.563852771214265,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9592.590039705232,-0.3182980721365425,-0.04279718965290735
03153,2017,85.69,355.635009765625,14.889756202697754,0.0,13703720.0,387.65537837221,68.64159594833163,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10641.241817185619,-2.306756550096793,-0.5604228239633531
03153,2019,79.57,167.03334045410156,16.06209945678711,2.0,15139928.0,387.65537837221,68.64159594833163,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,11092.811094657121,0.3861362491784348,-0.052630111950916936
03153,2020,79.79,207.82501220703125,16.062915802001953,2.0,14997075.0,387.65537837221,68.64159594833163,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,10009.028537128564,0.9464367968968759,0.09391995519615048
03153,2021,85.36,260.1300354003906,15.39946746826172,0.0,13576121.0,387.65537837221,68.64159594833163,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10207.223707170762,-0.2561152157292099,-0.03241510067692299
03154,2017,78.37,293.3537902832031,16.520273208618164,0.0,13809555.0,120.71246267567484,47.3940791687049,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,9732.222210442722,-2.274723226565527,-0.546933058404887
