year,district_no,mild_winter_days,fungal_risk_days,VegetationVigorIndex,RootZoneDepletion
1989,01062,40,2,,0.005393976007594718
1990,01062,47,4,,0.005330559706138712
1991,01062,18,1,,0.010516839765908587
1992,01062,32,0,,0.11379685959362801
1993,01062,21,3,,0.14816036854188253
1994,01062,30,1,,0.0035442266320277584
1995,01062,28,2,,0.010120710587122802
1996,01062,1,0,,0.8333924927815206
1997,01062,22,2,,0.0903950644939623
1998,01062,43,2,,0.08362700633632492
1999,01062,28,3,,0.03502275715542087
2000,01062,37,1,,0.12399841814799595
2001,01062,21,3,0.1620155701468585,0.030894859238389125
2002,01062,30,8,0.0467632688214,0.006933521475057855
2003,01062,13,0,-0.051396763680895796,0.15095115273306667
2004,01062,20,3,-0.017298309680187498,0.10258894869859192
2005,01062,21,1,0.1287323661306993,0.009337088943841738
2006,01062,9,0,0.000494682013555299,0.21953395719813631
2007,01062,42,5,0.20056061417487248,0.02578337309035925
2008,01062,41,3,0.03468130900672389,0.0343560480916539
2009,01062,14,0,0.06629738849686259,0.13455312689738919
2010,01062,4,0,-0.2959402074841161,18.005278
2011,01062,19,0,-0.3503045002447147,0.14348214103015902
2012,01062,26,2,0.0321443059724018,0.09013110973552295
2013,01062,16,1,-0.2208911160006695,0.08401317196907185
2014,01062,37,3,0.12486745851152031,0.09171256088358372
2015,01062,29,1,0.2913152558834874,0.06703793659322944
1981,03102,12,0,,
1982,03102,19,1,,
1983,03102,28,3,,
1984,03102,23,0,,
1985,03102,12,0,,
1986,03102,10,0,,
1987,03102,12,0,,
1988,03102,44,3,,
1989,03102,38,3,,0.042578297317436654
1990,03102,48,6,,0.025526557887453873
1991,03102,20,3,,0.05756353308827022
1992,03102,33,2,,0.20532126988215596
1993,03102,25,6,,0.05662851818687834
1994,03102,31,1,,0.007462453067388901
1995,03102,32,5,,0.058968763886083624
1996,03102,9,0,,1.2800513708349888
1997,03102,28,4,,0.10355293893959147
1998,03102,41,4,,0.10688863189275319
1999,03102,34,3,,0.08022154637483356
2000,03102,34,2,,0.15652735478154936
2001,03102,25,5,0.1784345436847365,0.12016529084004687
2002,03102,38,11,0.0244163323814192,0.061279607006657626
2003,03102,17,0,-0.1356869245288974,0.1363646427493858
2004,03102,25,4,-0.0894734484417007,0.08998155353633178
2005,03102,26,1,0.0151652922276788,0.13941582921777917
2006,03102,11,0,0.0216624662794603,0.1925801841876629
